time,site,link,description,theme
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/pasaulis/konfliktai-ir-saugumas/2024/12/14/news/kas-maskvoje-laukia-is-sirijos-pabegusio-b-al-assado-laisveje-ir-prabangoje-nesimaudys-35635606,Kas Maskvoje laukia iš Sirijos pabėgusio B. al-Assado: laisvėje ir prabangoje nesimaudys  (5) ,Pasaulis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/verslas/mano-pinigai/2024/12/14/news/lietuvos-ekonomine-padeti-vertina-net-ir-is-siuksliu-kruvos-nors-jau-isivaizduoja-ka-ten-ras-siemet-syki-teko-nustebti-35616013,"Lietuvos ekonominę padėtį vertina net ir iš šiukšlių krūvos: nors jau įsivaizduoja, ką ten ras šiemet, sykį teko nustebti  (1) ",Verslas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/bendraukime/isklausykite/2024/12/13/news/apie-vaikystes-traumas-prabilusi-ermita-noriu-gelbeti-kitu-mergaiciu-gyvenimus--35614835,Apie vaikystės traumas prabilusi Ermita: „Noriu gelbėti kitų mergaičių gyvenimus“ ,Bendraukime
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/kultura/istorija/2024/12/15/news/kadruose-is-praeities-sovietines-nomenklaturos-prabanga-ir-galia-35616024,Kadruose iš praeities – sovietinės nomenklatūros prabanga ir galia ,Kultūra
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/skonis/pasigamink/2024/12/15/news/vienas-laukiamiausiu-ziemos-patiekalu-troskinti-rauginto-kopustu-ketvirciai-35080884,Vienas laukiamiausių žiemos patiekalų: troškinti rauginto kopūstų ketvirčiai ,Skonis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/gamta/gamtaorai/2024/12/15/news/sinoptikai-pranesa-sekmadieni-sulauksime-slapdribos-ir-sniego-savaites-pradzioje-pokyciai-35662770,"Sinoptikai praneša: sekmadienį sulauksime šlapdribos ir sniego, savaitės pradžioje – pokyčiai ",Gamta
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/gyvenimo-budas/horoskopai/2024/12/15/news/palmira-vakaras-atnes-nusiraminima-bei-susitaikyma-35637104,Palmira: vakaras atneš nusiraminimą bei susitaikymą ,Gyvenimo būdas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/stilius/karamele/2024/12/14/news/-drauges-tv-uzkure-neeilini-ir-karsta-vakareli-atvyko-ir-t-raskevicius-bei-n-bierancas-35663495,​„Draugės TV“ užkūrė neeilinį ir karštą vakarėlį: atvyko ir T. Raskevičius bei N. Bierancas  (8) ,Stilius
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/fotogalerijos/unikalios-kaledos-begiu-parke-pamatykite-ledine-kaledu-senelio-stoti-ir-ledo-skulpturas-35660974,Unikalios Kalėdos Bėgių parke: pamatykite ledinę Kalėdų Senelio stotį ir ledo skulptūras ,Lietuvos diena
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/auto/rinka/2024/12/14/news/sis-laikas-geriausias-pirkti-naudota-automobili-atskleide-kodel-taip-yra-35503073,"Šis laikas – geriausias pirkti naudotą automobilį: atskleidė, kodėl taip yra  (3) ",Auto
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/bustas/architektura/2024/12/14/news/jauna-seima-isikure-gamtos-prieglobstyje-cia-pasistate-jaukius-namus-kuriais-zavisi-kiekvienas-uzsukes-35612220,"Jauna šeima įsikūrė gamtos prieglobstyje: čia pasistatė jaukius namus, kuriais žavisi kiekvienas užsukęs  ",Būstas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/augintinis/suteik-namus/2024/12/14/news/isblesus-poros-meilei-arsus-musis-del-suns-pasimecius-pinigais-viskas-staiga-persikele-i-teisma-35615931,Išblėsus poros meilei – aršus mūšis dėl šuns: pasimėčius pinigais viskas staiga persikėlė į teismą ,Augintinis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sveikata/gyvenu-sveikai/2024/12/14/news/chirurgas-atskleide-kodel-negeria-alkoholio-tai-atvere-akis-35415769,"Chirurgas atskleidė, kodėl negeria alkoholio: tai atvėrė akis  (1) ",Sveikata
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/tevams/vaikai/2024/12/14/news/kosmetikos-pramone-nusitaike-i-nauja-klientu-karta-paklausa-didziule-visose-srityse-31660575,Kosmetikos pramonė nusitaikė į naują klientų kartą: paklausa didžiulė visose srityse ,Tėvams
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/it/laboratorija/2024/12/13/news/mokslininkai-issigando-reikalauja-nutraukti-siuo-biologinius-tyrimus-35634822,Mokslininkai išsigando: reikalauja nutraukti šiuos biologinius tyrimus ,It ir mokslas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/lietuvosdiena/aktualijos/2024/12/15/news/po-pasisakymu-apie-rusu-kultura-s-birutis-pasijuto-puolamas-man-atrodo-kad-tai-yra-organizuota-kremliaus-35664846,"Po pasisakymų apie rusų kultūrą Š. Birutis pasijuto puolamas: man atrodo, kad tai yra organizuota Kremliaus  (6) ",Lietuvos diena
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/lietuvosdiena/kriminalai/2024/12/15/news/pastaraja-para-vilniaus-rajone-nuzudyta-moteris-o-klaipedos-rajone-vyras-35664038,Pastarąją parą – du nužudymai: Vilniaus ir Klaipėdos rajonuose rasti šiurpių nusikaltimų aukomis tapusių žmonių kūnai ,Lietuvos diena
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/lietuvosdiena/aktualijos/2024/12/14/news/politiku-is-uzmarsties-pabudintoje-siurpioje-tragedijoje-ir-pribloskiantys-liudijimai-moters-tevai-negalejo-patiketi-35615910,Politikų iš užmaršties pabudintoje šiurpioje tragedijoje – ir pribloškiantys liudijimai: moters tėvai negalėjo patikėti  (18) ,Lietuvos diena
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/lietuvosdiena/nelaimes/2024/12/15/news/per-medziokle-alytaus-rajone-persautas-vyras-35664128,Per medžioklę Alytaus rajone peršautas vyras  (1) ,Lietuvos diena
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/lietuvosdiena/nelaimes/2024/12/15/news/marijampoleje-i-ligonine-paguldytos-vaistais-apsinuodijusios-dveju-ir-ketveriu-metu-mergaites-35664130,Marijampolėje į ligoninę paguldytos vaistais apsinuodijusios dvejų ir ketverių metų mergaitės ,Lietuvos diena
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/fotogalerijos/vilniuje-legendinis-coca-cola-kaledu-karavanas-uzfiksavo-stebuklinga-magijos-pasauli-jo-viduje-35653921,Vilniuje – legendinis „Coca-Cola“ Kalėdų karavanas: užfiksavo stebuklingą magijos pasaulį jo viduje  (1) ,Lietuvos diena
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/lietuvosdiena/aktualijos/2024/12/14/news/mecys-laurinkus-sokas-ir-strateginis-pralaimejimas-rusijai-35615662,Mečys Laurinkus. Šokas ir strateginis pralaimėjimas Rusijai  (4) ,Lietuvos diena
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/lietuvosdiena/nelaimes/2024/12/14/news/kaune-avarijomis-pazenklintas-sestadienis-35658754,Kaune – avarijomis paženklintas šeštadienis ,Lietuvos diena
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/verslas/mano-pinigai/2024/12/14/news/l-matjosaityte-jeigu-taip-nutiktu-tektu-surasyti-naujo-gyvenimo-scenariju--35599495,"L. Matjošaitytė: „Jeigu taip nutiktų, tektų surašyti naujo gyvenimo scenarijų“  (1) ",Verslas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/verslas/mano-pinigai/2024/12/14/news/si-nelegali-preke-gruodi-ypac-paklausi-skelbia-kiek-pazeideju-jau-ikliuvo-ir-kokios-gresia-baudos-35631434,"Ši nelegali prekė gruodį – ypač paklausi: skelbia, kiek pažeidėjų jau įkliuvo ir kokios gresia baudos ",Verslas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/verslas/mano-pinigai/2024/12/13/news/saules-elektriniu-savininkams-zinia-del-nauju-tarifu-stai-kas-keiciasi-jau-nuo-sausio-35623829,Saulės elektrinių savininkams – žinia dėl naujų tarifų: štai kas keičiasi jau nuo sausio  (4) ,Verslas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/verslas/agro-naujienos/2024/12/15/news/tai-ka-kalba-ukininkas-nieko-gero-nezada-pieno-kainos-sokines-o-pienininku-laukia-nelengvi-laikai-35484482,"Tai, ką kalba ūkininkas, nieko gero nežada: pieno kainos šokinės, o pienininkų laukia nelengvi laikai  (1) ",Verslas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/verslas/mano-pinigai/2024/12/14/news/toks-malonumas-seimai-kainuodavo-nuo-50-iki-140-euru-taciau-siemet-net-ir-noredamas-gali-negauti-35379752,"Toks malonumas šeimai kainuodavo nuo 50 iki 140 eurų, tačiau šiemet net ir norėdamas gali negauti ",Verslas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/verslas/agro-naujienos/2024/12/14/news/jau-prisiekes-ministras-i-hofmanas-apie-tai-kas-slegia-salies-ukininkus-35645636,"Jau prisiekęs ministras I. Hofmanas – apie tai, kas slegia šalies ūkininkus Žada naują žemės ūkio politikos kryptį (2) ",Verslas
